Sort_Order,Ticker,Action,Date,Price,Quantity,Reason,RSI,3M Return,6M Return,9M Return,RS,ST Value,ST Dir,Return %,PnL ₹,Holding Days
22,FEDERALBNK.NS,BOUGHT,2026-02-03,295.47,56,Entry,60.51,18.89,37.43,48.43,96.0,267.29,Up,,,
23,JKTYRE.NS,BOUGHT,2026-02-03,547.72,30,Entry,63.71,21.4,53.52,68.38,98.0,478.31,Up,,,
24,KARURVYSYA.NS,BOUGHT,2026-02-03,315.57,52,Entry,67.59,21.63,37.11,64.42,97.0,273.57,Up,,,
25,HINDCOPPER.NS,SOLD,2026-02-03,636.7,30,"Close < ST(15,3) (T-1)",71.67,58.38,105.92,183.42,99.0,503.97,Up,15.19,2518.52,21.0
26,INDIANB.NS,SOLD,2026-02-03,870.62,19,"Close < ST(15,3) (T-1)",67.78,6.65,44.6,61.13,97.0,842.22,Up,2.74,441.93,1.0
27,MCX.NS,SOLD,2026-02-03,2487.5,8,"Close < ST(15,3) (T-1)",65.33,31.13,52.55,84.41,99.0,1933.38,Up,21.03,3458.2,62.0
28,MUTHOOTFIN.NS,SOLD,2026-02-03,3706.38,4,"Close < ST(15,3) (T-1)",74.64,34.59,76.95,69.39,99.0,3475.32,Up,-0.14,-20.36,74.0
29,INDIANB.NS,BOUGHT,2026-02-02,847.37,19,Entry,67.78,6.65,44.6,61.13,97.0,842.22,Up,,,
30,ABCAPITAL.NS,SOLD,2026-02-02,325.86,48,"Close < ST(15,3) (T-1)",71.4,19.89,73.72,88.47,99.0,310.2,Up,-4.33,-707.14,84.0
31,SHRIRAMFIN.NS,BOUGHT,2026-01-27,1016.26,16,Entry,64.43,40.27,53.44,44.05,99.0,949.84,Up,,,
32,AUBANK.NS,SOLD,2026-01-27,965.75,17,"Close < ST(15,3) (T-1)",71.65,32.08,32.62,78.81,98.0,906.52,Up,0.96,156.2,55.0
33,HINDCOPPER.NS,BOUGHT,2026-01-13,552.75,30,Entry,71.67,58.38,105.92,183.42,99.0,503.97,Up,,,
34,LAURUSLABS.NS,SOLD,2026-01-13,1037.98,17,"Close < ST(15,3) (T-1)",64.32,12.63,43.52,58.56,98.0,869.9,Up,11.01,1749.84,78.0
35,ASHOKLEY.NS,BOUGHT,2026-01-12,190.58,87,Entry,74.35,35.43,49.67,90.05,99.0,176.95,Up,,,
36,LTF.NS,SOLD,2026-01-12,298.2,70,"Close < ST(15,3) (T-1)",55.23,16.39,52.41,70.42,98.0,235.7,Up,26.24,4338.34,105.0
37,AUBANK.NS,BOUGHT,2025-12-03,956.56,17,Entry,71.65,32.08,32.62,78.81,98.0,906.52,Up,,,
38,MCX.NS,BOUGHT,2025-12-03,2055.22,8,Entry,65.33,31.13,52.55,84.41,99.0,1933.38,Up,,,
39,RBLBANK.NS,SOLD,2025-12-03,300.49,52,"Close < ST(15,3) (T-1)",70.01,24.43,65.86,104.94,99.0,296.01,Up,-5.95,-987.97,40.0
40,SYRMA.NS,SOLD,2025-12-03,791.87,18,"Close < ST(15,3) (T-1)",60.39,26.38,67.72,69.44,98.0,799.85,Up,-9.74,-1538.9,14.0
41,MUTHOOTFIN.NS,BOUGHT,2025-11-21,3711.46,4,Entry,74.64,34.59,76.95,69.39,99.0,3475.32,Up,,,
42,ANANDRATHI.NS,SOLD,2025-11-21,2787.99,5,"Close < ST(15,3) (T-1)",59.27,15.89,76.66,57.51,99.0,2912.61,Up,-11.48,-1807.9,25.0
43,SYRMA.NS,BOUGHT,2025-11-19,877.36,18,Entry,60.39,26.38,67.72,69.44,98.0,799.85,Up,,,
44,GMDCLTD.NS,SOLD,2025-11-19,512.46,28,Stoploss 13%,65.29,43.05,121.74,78.7,99.0,529.77,Up,-13.87,-2309.87,51.0
45,ABCAPITAL.NS,BOUGHT,2025-11-10,340.59,48,Entry,71.4,19.89,73.72,88.47,99.0,310.2,Up,,,
46,ECLERX.NS,SOLD,2025-11-10,2129.05,6,"Close < ST(15,3) (T-1)",65.59,24.93,89.79,57.81,99.0,2144.51,Up,-10.61,-1516.79,7.0
47,ECLERX.NS,BOUGHT,2025-11-03,2381.85,6,Entry,65.59,24.93,89.79,57.81,99.0,2144.51,Up,,,
48,FORTIS.NS,SOLD,2025-11-03,1018.88,17,"Close < ST(15,3) (T-1)",58.72,25.18,44.36,42.18,98.0,920.98,Up,4.41,731.43,33.0
49,ANANDRATHI.NS,BOUGHT,2025-10-27,3149.57,5,Entry,59.27,15.89,76.66,57.51,99.0,2912.61,Up,,,
50,LAURUSLABS.NS,BOUGHT,2025-10-27,935.05,17,Entry,64.32,12.63,43.52,58.56,98.0,869.9,Up,,,
51,GODFRYPHLP.NS,SOLD,2025-10-27,3129.18,5,"Close < ST(15,3) (T-1)",62.83,37.11,68.35,24.6,98.0,2722.0,Up,4.3,644.58,117.0
52,SYRMA.NS,SOLD,2025-10-27,744.46,19,Stoploss 13%,65.91,59.3,83.07,44.27,99.0,764.97,Up,-13.87,-2276.98,32.0
53,RBLBANK.NS,BOUGHT,2025-10-24,319.49,52,Entry,70.01,24.43,65.86,104.94,99.0,296.01,Up,,,
54,GVT&D.NS,SOLD,2025-10-24,2803.51,5,"Close < ST(15,3) (T-1)",59.94,26.59,94.08,42.84,99.0,2809.9,Up,-6.67,-1001.66,24.0
55,FORTIS.NS,BOUGHT,2025-10-01,975.85,17,Entry,58.72,25.18,44.36,42.18,98.0,920.98,Up,,,
56,CHOICEIN.NS,SOLD,2025-10-01,766.45,21,"Close < ST(15,3) (T-1)",69.25,25.96,40.76,59.15,99.0,718.55,Up,-0.5,-81.56,70.0
