Ticker,Action,Entry_Price,Quantity,Stoploss,Allocation_%,Entry_Date
GVT&D.NS,HOLD,3713.1,4,3230.4,6.23,2026-02-23
KIRLOSENG.NS,HOLD,1416.5,11,1204.02,6.54,2026-03-04
VEDL.NS,HOLD,721.0,23,612.85,6.96,2026-03-06
MCX.NS,HOLD,2577.1,6,2190.54,6.49,2026-03-09
NATIONALUM.NS,HOLD,388.1,42,329.89,6.84,2026-03-09
GESHIP.NS,HOLD,1459.9,11,1240.92,6.74,2026-03-13
