Symbol,Industry,Qtr Profit Var %,QoQ profits %,QoQ sales %,OPM
FINCABLES,Capital Goods,11.4,11.4,35.2,8.92
FINPIPE,Capital Goods,23.5,23.5,-10.3,10.76
FSL,Services,-24.9,-24.9,16.2,11.93
FIVESTAR,Financial Services,1.2,1.2,6.9,63.51
FORCEMOT,Automobile and Auto Components,252.2,252.2,12.7,14.16
FORTIS,Healthcare,-21.9,-21.9,17.5,17.02
GAIL,Oil Gas & Consumable Fuels,-57.0,-57.0,-4.5,4.93
GVT&D,Capital Goods,103.8,103.8,58.4,26.05
GMRAIRPORT,Services,-54.3,-54.3,50.5,31.3
GRSE,Capital Goods,73.9,73.9,49.1,8.42
GICRE,Financial Services,2.9,2.9,11.6,17.91
GILLETTE,Fast Moving Consumer Goods,36.9,36.9,15.2,28.9
GLAND,Healthcare,27.7,27.7,22.5,19.3
GLAXO,Healthcare,28.6,28.6,9.7,33.71
GLENMARK,Healthcare,15.9,15.9,15.1,18.34
MEDANTA,Healthcare,-33.5,-33.5,18.8,13.93
GODIGIT,Financial Services,18.2,18.2,5.5,6.32
GPIL,Capital Goods,-1.1,-1.1,-12.2,16.24
GODFRYPHLP,Fast Moving Consumer Goods,8.7,8.7,14.9,19.09
GODREJAGRO,Fast Moving Consumer Goods,3.0,3.0,11.0,6.84
GODREJCP,Fast Moving Consumer Goods,-0.1,-0.1,8.8,19.86
GODREJIND,Diversified,8.7,8.7,10.7,18.68
GODREJPROP,Realty,20.0,20.0,-48.6,-43.0
GRANULES,Healthcare,27.7,27.7,22.0,16.9
GRAPHITE,Capital Goods,,,22.8,2.8
GRASIM,Construction Materials,15.3,15.3,27.4,15.69
GRAVITA,Metals & Mining,25.3,25.3,2.1,11.96
GESHIP,Services,36.9,36.9,17.6,38.18
FLUOROCHEM,Chemicals,-19.0,-19.0,-1.0,14.7
GUJGASLTD,Oil Gas & Consumable Fuels,20.7,20.7,-11.9,8.53
GMDCLTD,Metals & Mining,-9.9,-9.9,-11.4,13.59
GSPL,Oil Gas & Consumable Fuels,9.7,9.7,-10.9,10.92
HEG,Capital Goods,148.2,148.2,37.2,13.48
HBLENGINE,Capital Goods,241.4,241.4,94.0,33.19
HCLTECH,Information Technology,-16.4,-16.4,7.4,18.56
HDFCAMC,Financial Services,20.0,20.0,20.1,82.41
HDFCBANK,Financial Services,12.2,12.2,26.4,34.79
HDFCLIFE,Financial Services,-0.7,-0.7,70.4,1.51
HFCL,Telecommunication,32.5,32.5,19.6,15.22
HAPPSTMNDS,Information Technology,-28.8,-28.8,35.8,23.21
HAVELLS,Consumer Durables,8.1,8.1,14.3,7.29
HEROMOTOCO,Automobile and Auto Components,14.4,14.4,21.7,13.04
HEXT,Information Technology,-8.5,-8.5,10.3,11.21
HSCL,Chemicals,35.3,35.3,3.8,19.87
HINDALCO,Metals & Mining,-45.1,-45.1,13.9,8.68
HAL,Capital Goods,29.6,29.6,10.7,15.11
HINDCOPPER,Metals & Mining,148.5,148.5,109.7,28.6
HINDPETRO,Oil Gas & Consumable Fuels,57.7,57.7,4.1,4.64
HINDUNILVR,Fast Moving Consumer Goods,121.4,121.4,3.9,20.99
HINDZINC,Metals & Mining,46.2,46.2,27.8,48.06
POWERINDIA,Capital Goods,90.3,90.3,30.0,16.27
HOMEFIRST,Financial Services,44.0,44.0,34.6,66.57
HONASA,Fast Moving Consumer Goods,92.9,92.9,16.2,9.05
HONAUT,Capital Goods,-8.3,-8.3,7.1,11.54
HUDCO,Financial Services,-3.0,-3.0,16.1,66.31
HYUNDAI,Automobile and Auto Components,6.3,6.3,8.0,8.06
ICICIBANK,Financial Services,-2.7,-2.7,3.0,33.97
ICICIGI,Financial Services,-9.1,-9.1,12.2,12.57
ICICIPRULI,Financial Services,19.2,19.2,396.9,2.37
IDBI,Financial Services,0.3,0.3,3.0,49.5
IDFCFIRSTB,Financial Services,40.7,40.7,16.4,9.83
IFCI,Financial Services,,,-34.6,3.15
IIFL,Financial Services,1040.8,1040.8,65.9,41.53
INOXINDIA,Capital Goods,4.0,4.0,28.5,19.64
IRB,Construction,-96.5,-96.5,-16.3,23.61
IRCON,Construction,16.2,16.2,-18.9,5.48
ITCHOTELS,Consumer Services,31524.7,31524.7,,29.48
ITC,Fast Moving Consumer Goods,-0.1,-0.1,6.7,32.18
ITI,Telecommunication,,,-50.3,2.78
INDGN,Healthcare,-6.2,-6.2,30.8,12.73
INDIACEM,Construction Materials,,,18.4,0.39
INDIAMART,Consumer Services,55.6,55.6,13.4,31.57
INDIANB,Financial Services,8.2,8.2,13.8,47.53
IEX,Financial Services,11.0,11.0,14.0,83.73
INDHOTEL,Consumer Services,55.1,55.1,11.9,33.92
IOC,Oil Gas & Consumable Fuels,514.9,514.9,5.7,8.91
IOB,Financial Services,63.1,63.1,16.3,38.39
IRCTC,Consumer Services,15.6,15.6,18.4,31.26
IRFC,Financial Services,10.5,10.5,10.6,97.52
IREDA,Financial Services,37.6,37.6,40.8,87.42
IGL,Oil Gas & Consumable Fuels,20.6,20.6,8.2,8.33
INDUSTOWER,Telecommunication,-55.6,-55.6,7.9,33.27
INDUSINDBK,Financial Services,-90.9,-90.9,-28.5,4.17
NAUKRI,Consumer Services,12.0,12.0,13.4,32.2
INFY,Information Technology,-7.1,-7.1,3.2,18.02
INOXWIND,Capital Goods,0.6,0.6,32.5,18.95
INTELLECT,Information Technology,-59.5,-59.5,20.0,6.43
INDIGO,Services,-77.5,-77.5,6.2,15.76
IGIL,Services,32.9,32.9,-30.0,56.1
IKS,Information Technology,41.4,41.4,24.0,30.62
IPCALAB,Healthcare,31.5,31.5,6.6,17.8
JBCHEPHARM,Healthcare,21.8,21.8,10.5,23.52
JKCEMENT,Construction Materials,-7.9,-7.9,18.2,11.05
JBMA,Automobile and Auto Components,4.7,4.7,15.6,8.1
JKTYRE,Automobile and Auto Components,303.2,303.2,15.0,10.69
JMFINANCIL,Financial Services,49.7,49.7,31.4,46.78
JSWCEMENT,Construction Materials,,,13.2,12.57
JSWENERGY,Power,150.2,150.2,67.4,29.42
JSWINFRA,Services,8.9,8.9,14.2,35.54
JSWSTEEL,Metals & Mining,198.3,198.3,11.1,8.99
JPPOWER,Power,-97.0,-97.0,1.4,4.68
J&KBANK,Financial Services,10.0,10.0,1.9,44.89
JINDALSAW,Capital Goods,-49.1,-49.1,-6.2,9.26
JSL,Metals & Mining,26.6,26.6,6.2,10.83
JINDALSTEL,Metals & Mining,-80.0,-80.0,10.9,6.1
JIOFIN,Financial Services,-8.8,-8.8,57.3,50.0
JUBLFOOD,Consumer Services,65.2,65.2,13.3,9.6
JUBLINGREA,Chemicals,-32.4,-32.4,-0.5,7.76
JUBLPHARMA,Healthcare,-44.6,-44.6,16.5,7.95
JWL,Capital Goods,-35.3,-35.3,-13.5,11.15
JYOTHYLAB,Fast Moving Consumer Goods,-7.2,-7.2,5.0,12.87
JYOTICNC,Capital Goods,10.3,10.3,28.1,24.54
KPRMILL,Textiles,3.1,3.1,-4.0,16.38
KEI,Capital Goods,42.5,42.5,19.8,10.07
KPITTECH,Information Technology,-28.7,-28.7,9.4,15.6
KSB,Capital Goods,9.4,9.4,5.4,10.78
KAJARIACER,Consumer Durables,12.8,12.8,0.4,13.67
KPIL,Construction,7.2,7.2,16.3,5.79
KALYANKJIL,Consumer Durables,90.2,90.2,41.9,6.2
KARURVYSYA,Financial Services,39.1,39.1,17.5,54.8
KAYNES,Capital Goods,15.3,15.3,21.6,12.3
KEC,Construction,-1.6,-1.6,12.2,6.33
KFINTECH,Financial Services,2.0,2.0,26.2,35.76
KIRLOSBROS,Capital Goods,6.1,6.1,-2.4,10.45
KIRLOSENG,Capital Goods,56.2,56.2,28.8,15.39
KOTAKBANK,Financial Services,4.7,4.7,24.2,33.46
KIMS,Healthcare,-39.8,-39.8,29.2,12.05
KWIL,Fast Moving Consumer Goods,,,,0.0
LTF,Financial Services,17.9,17.9,26.6,44.6
LTTS,Information Technology,-6.1,-6.1,10.2,14.61
LICHSGFIN,Financial Services,-2.6,-2.6,-2.0,83.1
LTFOODS,Fast Moving Consumer Goods,9.8,9.8,22.9,9.04
LTIM,Information Technology,-10.6,-10.6,11.6,16.11
LT,Construction,-4.3,-4.3,11.1,10.68
LATENTVIEW,Information Technology,19.7,19.7,22.0,18.58
LAURUSLABS,Healthcare,172.7,172.7,25.7,20.22
THELEELA,Consumer Services,161.8,161.8,23.5,45.57
LEMONTREE,Consumer Services,0.3,0.3,14.3,42.26
LICI,Financial Services,24.3,24.3,16.1,6.47
LINDEINDIA,Chemicals,66.2,66.2,15.7,27.84
