Symbol,Industry,Qtr Profit Var %,QoQ profits %,QoQ sales %,OPM
WELCORP,Capital Goods,-32.9,-32.9,25.4,11.54
WELSPUNLIV,Textiles,-99.8,-99.8,-9.1,3.06
WHIRLPOOL,Consumer Durables,-39.7,-39.7,4.0,2.24
WIPRO,Information Technology,-7.0,-7.0,5.5,14.84
WOCKPHARMA,Healthcare,321.4,321.4,23.2,12.16
YESBANK,Financial Services,54.4,54.4,17.4,29.3
ZFCVINDIA,Automobile and Auto Components,11.7,11.7,11.7,15.46
ZEEL,Media Entertainment & Publication,-5.1,-5.1,14.2,8.93
ZENTEC,Capital Goods,37.9,37.9,16.8,33.91
ZENSARTECH,Information Technology,25.0,25.0,7.9,14.27
ZYDUSLIFE,Healthcare,1.8,1.8,30.3,18.83
ECLERX,Services,40.1,40.1,25.4,21.48
