Symbol,CMP,Live_1D_Return,RS_Score,Quantity,Target_Entry_Price,Stop_Loss,Investment_Percentage,Index_ST_DIR
ACUTAAS,2088.1,-0.0455,99.0,7,2088.1,1774.88,14.62,Down
GVT&D,3626.3,-0.0329,99.0,4,3626.3,3082.36,14.51,Down
KIRLOSENG,1466.5,-0.0016,99.0,11,1466.5,1246.52,16.13,Down
MCX,2481.4,-0.0177,99.0,6,2481.4,2109.19,14.89,Down
DATAPATTNS,3184.1,-0.0444,98.0,5,3184.1,2706.48,15.92,Down
POWERINDIA,24370.0,-0.0205,98.0,0,24370.0,20714.5,0.0,Down
